hour,grid_purchase,grid_feedin,max_hour
0,2125602.0,50482,False
1,1420502.0,71651,False
2,1632835.0,118036,False
3,770287.0,343602,False
4,216737.0,572127,True
5,167730.0,127197,False
6,262075.0,11423,False
7,873026.0,5184,False
8,1600957.0,3203,False
9,1236858.0,3477,False
10,1197676.0,2686,False
11,1209100.0,2244,False
12,1310424.0,2123,False
13,1144135.0,1122,False
14,1030533.0,1670,False
15,1068267.0,1878,False
16,912995.0,1780,False
17,876819.0,108,False
18,916951.0,73,False
19,911902.0,333,False
20,1110177.0,31,False
21,1374998.0,695,False
22,2216951.0,262,False
23,3178088.0,20843,False
